[2026-09-13 21:25:16 TP0 EP0] Decode batch, #running-req: 1, #full token: 79360, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.98, #queue-req: 0
[2026-09-13 21:25:16 TP0 EP0] Decode batch, #running-req: 1, #full token: 79616, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.43, #queue-req: 0
[2026-09-13 21:25:17 TP0 EP0] Decode batch, #running-req: 1, #full token: 79872, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.85, #queue-req: 0
[2026-09-13 21:25:17 TP0 EP0] Decode batch, #running-req: 1, #full token: 80128, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.61, #queue-req: 0
[2026-09-13 21:25:17 TP0 EP0] Decode batch, #running-req: 1, #full token: 80384, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.47, #queue-req: 0
[2026-09-13 21:25:18 TP0 EP0] Decode batch, #running-req: 1, #full token: 80640, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.43, #queue-req: 0
[2026-09-13 21:25:18 TP0 EP0] Decode batch, #running-req: 1, #full token: 80896, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.78, #queue-req: 0
[2026-09-13 21:25:18 TP0 EP0] Decode batch, #running-req: 1, #full token: 81152, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.79, #queue-req: 0
[2026-09-13 21:25:19 TP0 EP0] Decode batch, #running-req: 1, #full token: 81408, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.54, #queue-req: 0
[2026-09-13 21:25:19 TP0 EP0] Decode batch, #running-req: 1, #full token: 81664, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.06, #queue-req: 0
